player_id,code,slug_used,competition_path,profile_url,first_name,last_name,height_cm,position,nationality,born,club_code,club_name,fetch_status
PCQD,CQD,vonteego-cummings,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/vonteego-cummings/profile/CQD/,VONTEEGO,CUMMINGS,190,Guard,United States of America,1976-02-29T00:00:00,TEL,Maccabi Elite Tel Aviv,ok
P000160,000160,ramel-curry,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/ramel-curry/profile/000160/,RAMEL,CURRY,191,Guard,United States of America,1980-04-17T00:00:00,LMG,Limoges CSP,ok
P001830,001830,aldo-curti,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/aldo-curti/profile/001830/,ALDO,CURTI,180,Guard,France,1987-02-27T00:00:00,ORL,Entente Orleanaise,ok
PBTG,BTG,marco-cusin,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/marco-cusin/profile/BTG/,MARCO,CUSIN,211,Center,Italy,1985-02-28T00:00:00,MIL,AX Armani Exchange Olimpia Milan,ok
P001736,001736,aleksandar-cvetkovic,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/aleksandar-cvetkovic/profile/001736/,ALEKSANDAR,CVETKOVIC,185,Guard,Serbia,1993-09-12T00:00:00,RED,Crvena Zvezda Telekom Belgrade,ok
PKOE,KOE,branko-cvetkovic,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/branko-cvetkovic/profile/KOE/,BRANKO,CVETKOVIC,200,Forward,Serbia,1984-03-05T00:00:00,NIO,Panionios On Telecoms,ok
P002524,002524,nikola-cvorovic,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/nikola-cvorovic/profile/002524/,NIKOLA,CVOROVIC,201,Forward,Serbia,1994-01-30T00:00:00,RED,Crvena Zvezda Telekom Belgrade,ok
P001712,001712,evaldas-dainys,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/evaldas-dainys/profile/001712/,EVALDAS,DAINYS,180,Guard,Lithuania,1982-09-29T00:00:00,LIE,Lietuvos Rytas,ok
P001938,001938,dario-dalessio,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/dario-dalessio/profile/001938/,DARIO,D'ALESSIO,182,Guard,Italy,1991-06-20T00:00:00,ROM,Lottomatica Roma,ok
P003274,003274,boris-dallo,euroleague,https://www.euroleaguebasketball.net/en/euroleague/players/boris-dallo/profile/003274/,BORIS,DALLO,193,Forward,France,1994-03-12T00:00:00,ASV,LDLC ASVEL Villeurbanne,ok
